vol,dist,model_tipi,yakinsadi,aic,bic,loglik,k,omega,alpha,beta,gamma,kalicilik,kalicilik_ab,kalicilik_patlayici,nu,lambda,sira,nu_4_alt
EGARCH,skewt,GARCH_AILESI,True,175063.06233804996,175132.89993189,-87522.53116902498,9,0.4421965227275711,0.3645745653777536,0.9479688904910673,-0.02698107595333745,0.9479688904910673,0.9479688904910673,False,,-0.02575318739308367,1,
EGARCH,t,GARCH_AILESI,True,175067.7994565323,175129.8773177234,-87525.89972826614,8,0.44061035268298576,0.3642394328270099,0.9481259007362982,-0.02532200484932731,0.9481259007362982,0.9481259007362982,False,3.290597386882913,,2,EVET
GJR,skewt,GARCH_AILESI,True,175282.32670178407,175352.1642956241,-87632.16335089203,9,93.71476274085856,0.18922357041247692,0.7870631747337776,0.04742650970749162,1.0000000000000004,0.9762867451462546,True,,-0.02619047302239267,3,
GJR,t,GARCH_AILESI,True,175287.49234711606,175349.57020830718,-87635.74617355803,8,93.2533925053318,0.18990734366727094,0.7874240068755781,0.04533729891410196,0.9999999999999,0.977331350542849,False,3.394177783977662,,4,EVET
Approx_IGARCH,skewt,Approx_IGARCH,True,175288.82746618742,175350.90532737854,-87636.41373309371,8,0.0,0.2146758539763847,0.7853241460236029,0.0,0.9999999999999876,,True,,-0.024851010066544894,5,
GARCH,skewt,GARCH_AILESI,True,175288.82746618742,175350.90532737854,-87636.41373309371,8,94.11948676269874,0.2146758539763847,0.7853241460236029,,0.9999999999999876,0.9999999999999876,False,,-0.024851010066544894,6,
GARCH,t,GARCH_AILESI,True,175293.3007586946,175347.61888723684,-87639.6503793473,7,93.8948973224762,0.21433979883774584,0.7856602011622543,,1.0000000000000002,1.0000000000000002,True,3.4005076766990343,,7,EVET
Approx_IGARCH,t,Approx_IGARCH,True,175293.3007586946,175347.61888723684,-87639.6503793473,7,0.0,0.21433979883774584,0.7856602011622543,0.0,1.0000000000000002,,True,3.4005076766990343,,8,EVET
ARCH,skewt,GARCH_AILESI,True,175365.26895827544,175489.42468065768,-87666.63447913772,16,558.123896193747,0.34547832962385727,,,,,False,,-0.024924811728733533,9,
ARCH,t,GARCH_AILESI,True,175369.78275907465,175486.17874880802,-87669.89137953732,15,557.5394096107791,0.34560051613619075,,,,,False,3.3427872936764342,,10,EVET
EGARCH,normal,GARCH_AILESI,True,178825.70101150786,178880.0191400501,-89405.85050575393,7,0.5191800581710573,0.3504681531902754,0.935671672558882,-0.00898873331460292,0.935671672558882,0.935671672558882,False,,,11,
GJR,normal,GARCH_AILESI,True,179158.29222165438,179212.61035019663,-89572.14611082719,7,103.4290671615921,0.1836912181336323,0.7899593451609447,0.018880466342375987,0.983090796465765,0.973650563294577,False,,,12,
Approx_IGARCH,normal,Approx_IGARCH,True,179158.79069097826,179205.3490868716,-89573.39534548913,6,0.0,0.19266013001282908,0.7906326588276554,0.0,0.9832927888404845,,True,,,13,
GARCH,normal,GARCH_AILESI,True,179158.79069097826,179205.3490868716,-89573.39534548913,6,102.86962259253052,0.19266013001282908,0.7906326588276554,,0.9832927888404845,0.9832927888404845,False,,,14,
ARCH,normal,GARCH_AILESI,True,179233.88868960165,179342.5249466861,-89602.94434480082,14,612.9987678472003,0.3057316272922233,,,,,False,,,15,
