vol,dist,model_tipi,yakinsadi,aic,bic,loglik,k,omega,alpha,beta,gamma,kalicilik,kalicilik_ab,kalicilik_patlayici,nu,lambda,sira,nu_4_alt,lb24_p,lb48_p,arch_lm_p,temiz,aic_sira,bic_sira,tanisal_puan,duruluk_puan,toplam_puan
EGARCH,skewt,GARCH_AILESI,True,175063.06233804996,175132.89993189,-87522.53116902498,9,0.4421965227275711,0.3645745653777536,0.9479688904910673,-0.0269810759533374,0.9479688904910673,0.9479688904910673,False,,-0.0257531873930836,1,,0.0029820803655934876,0.0037531695100643317,2.1859199095253246e-07,False,1,2,0,3,12
EGARCH,t,GARCH_AILESI,True,175067.7994565323,175129.8773177234,-87525.89972826614,8,0.4406103526829857,0.3642394328270099,0.9481259007362982,-0.0253220048493273,0.9481259007362982,0.9481259007362982,False,3.290597386882913,,2,EVET,0.003571342061474045,0.004474411285900631,2.0885851781393683e-07,False,2,1,0,3,12
GJR,t,GARCH_AILESI,True,175287.49234711606,175349.57020830718,-87635.74617355803,8,93.2533925053318,0.1899073436672709,0.7874240068755781,0.0453372989141019,0.9999999999999,0.977331350542849,False,3.394177783977662,,4,EVET,0.02176264358597752,0.020534991493484,2.0203779760308294e-09,False,4,5,0,3,18
GARCH,skewt,GARCH_AILESI,True,175288.82746618742,175350.90532737854,-87636.41373309371,8,94.11948676269874,0.2146758539763847,0.7853241460236029,,0.9999999999999876,0.9999999999999876,False,,-0.0248510100665448,6,,0.016581456116369225,0.015842549512981963,5.117264167964208e-09,False,5,6,0,3,20
Approx_IGARCH,t,Approx_IGARCH,True,175293.3007586946,175347.61888723684,-87639.6503793473,7,0.0,0.2143397988377458,0.7856602011622543,0.0,1.0000000000000002,,True,3.4005076766990343,,8,EVET,0.019341981404454266,0.018548676354526263,4.4619408168244945e-09,False,7,3,0,0,22
GARCH,t,GARCH_AILESI,True,175293.3007586946,175347.61888723684,-87639.6503793473,7,93.8948973224762,0.2143397988377458,0.7856602011622543,,1.0000000000000002,1.0000000000000002,True,3.4005076766990343,,7,EVET,0.019341981404454266,0.018548676354526263,4.4619408168244945e-09,False,7,3,0,0,22
GJR,skewt,GARCH_AILESI,True,175282.32670178407,175352.1642956241,-87632.16335089203,9,93.71476274085856,0.1892235704124769,0.7870631747337776,0.0474265097074916,1.0000000000000004,0.9762867451462546,True,,-0.0261904730223926,3,,0.019795815245924178,0.018369549678108752,2.2871050608941346e-09,False,3,8,0,0,23
Approx_IGARCH,skewt,Approx_IGARCH,True,175288.82746618742,175350.90532737854,-87636.41373309371,8,0.0,0.2146758539763847,0.7853241460236029,0.0,0.9999999999999876,,True,,-0.0248510100665448,5,,0.016581456116369225,0.015842549512981963,5.117264167964208e-09,False,5,6,0,0,23
ARCH,skewt,GARCH_AILESI,True,175365.26895827544,175489.42468065768,-87666.63447913772,16,558.123896193747,0.3454783296238572,,,,,False,,-0.0249248117287335,9,,0.016581456116369225,0.015842549512981963,5.117264167964208e-09,False,9,10,0,3,28
ARCH,t,GARCH_AILESI,True,175369.78275907465,175486.17874880802,-87669.89137953732,15,557.5394096107791,0.3456005161361907,,,,,False,3.3427872936764342,,10,EVET,0.019341981404454266,0.018548676354526263,4.4619408168244945e-09,False,10,9,0,3,28
EGARCH,normal,GARCH_AILESI,True,178825.70101150786,178880.0191400501,-89405.85050575393,7,0.5191800581710573,0.3504681531902754,0.935671672558882,-0.0089887333146029,0.935671672558882,0.935671672558882,False,,,11,,0.1389052658419417,0.09364824217279129,7.110915268837559e-07,False,11,11,0,3,31
GARCH,normal,GARCH_AILESI,True,179158.79069097826,179205.3490868716,-89573.39534548913,6,102.86962259253052,0.192660130012829,0.7906326588276554,,0.9832927888404844,0.9832927888404844,False,,,14,,0.5303447008170923,0.3154993193053743,1.3001482557228883e-08,False,13,12,0,3,34
GJR,normal,GARCH_AILESI,True,179158.29222165438,179212.61035019663,-89572.14611082719,7,103.4290671615921,0.1836912181336323,0.7899593451609447,0.0188804663423759,0.983090796465765,0.973650563294577,False,,,12,,0.5350519776444262,0.31860985228089833,1.0106301240320192e-08,False,12,14,0,3,35
Approx_IGARCH,normal,Approx_IGARCH,True,179158.79069097826,179205.3490868716,-89573.39534548913,6,0.0,0.192660130012829,0.7906326588276554,0.0,0.9832927888404844,,True,,,13,,0.5303447008170923,0.3154993193053743,1.3001482557228883e-08,False,13,12,0,0,37
ARCH,normal,GARCH_AILESI,True,179233.88868960165,179342.5249466861,-89602.94434480082,14,612.9987678472003,0.3057316272922233,,,,,False,,,15,,0.5303447008170923,0.3154993193053743,1.3001482557228883e-08,False,15,15,0,3,39
